Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
99,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26-104,1997,12,11,850,9.4,0,0,0,0,0,0,6,0,0.6,0.6,0.3,0.9,5,37,7,0,0,0,0,0,0.06,0.03,0.1,0.06,0.1,Matches,
100,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23-356,2000,3,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,10,4,5,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches,
101,Robert Sánchez,es ESP,GK,Chelsea,26-118,1997,16,16,"1,433",15.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,
102,Davinson Sánchez,co COL,DF,Tottenham,27-277,1996,1,0,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches,
103,Albert Sambi Lokonga,be BEL,MF,Luton Town,24-145,1999,12,11,873,9.7,0,2,2,0,0,0,2,0,0.4,0.4,1.3,1.7,18,47,8,0,0.21,0.21,0,0.21,0.04,0.13,0.17,0.04,0.17,Matches,
104,William Saliba,fr FRA,DF,Arsenal,22-357,2001,28,28,"2,520",28,2,1,3,2,0,0,3,0,1.5,1.5,0.2,1.7,14,117,5,0.07,0.04,0.11,0.07,0.11,0.05,0.01,0.06,0.05,0.06,Matches,
105,Mohamed Salah,eg EGY,FW,Liverpool,31-274,1992,22,20,"1,816",20.2,15,9,24,11,4,6,2,0,15,10.1,9.4,19.5,76,105,232,0.74,0.45,1.19,0.55,0.99,0.74,0.46,1.21,0.5,0.96,Matches,
106,Bukayo Saka,eng ENG,FW,Arsenal,22-192,2001,27,27,"2,262",25.1,13,8,21,9,4,4,3,0,11.5,8.4,8.2,16.6,123,100,422,0.52,0.32,0.84,0.36,0.68,0.46,0.33,0.79,0.33,0.66,Matches,
107,José Sá,pt POR,GK,Wolves,31-058,1993,26,26,"2,227",24.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
108,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30-242,1993,21,8,855,9.5,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1,7,29,12,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches,
109,Joe Rothwell,eng ENG,MF,Bournemouth,29-064,1995,11,3,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,20,3,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches,
110,Cristian Romero,ar ARG,DF,Tottenham,25-323,1998,22,22,"1,800",20,4,0,4,4,0,0,4,1,1.6,1.6,0.2,1.9,24,120,4,0.2,0,0.2,0.2,0.2,0.08,0.01,0.09,0.08,0.09,Matches,
